ETid,Country,Date of Decision,Fine (EUR),Sector,Type of Violation,Summary,stratum,manual_label,confidence,notes
718,Sweden,6/7/2021,1200000.0,Health Care,Non-compliance with general data processing principles,"The Swedish DPA has imposed a fine of EUR 1,200,000 on MedHelp AB. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The Swedish DPA found that MedHelp had failed to take appropriate technical and organizational measures to ensure an adequate level of security to protect personal data so that unauthorized persons could not access it. Similarly, MedHelp had failed to properly inform callers about the processing of their personal data in accordance with Art. 13 GDPR. 

In addition, the DPA finds the outsourcing of the processing of personal data to Medicall to be a breach of the legality principle set out in the GDPR. This is because Medicall is not covered by Swedish health and medical legislation and is therefore not subject to the legally regulated confidentiality obligation that exists in the Swedish healthcare sector.",nonmal_kw,cyber_nonmalicious,High,misconfigured NAS exposed call recordings
707,Italy,4/15/2021,12000.0,Public Sector and Education,Insufficient fulfilment of data subjects rights,"The Italian DPA (Garante) has imposed a fine of EUR 12,000 on the Italian National Institute for Social Security (Istituto Nazionale della Previdenza Sociale). That fine was based on the fact that the controller failed to respond properly to two requests for information that the data subject had submitted to the controller. The requests were related to the disclosure of personal data of the data subject to third parties. Initially, the data subject had received no response to either request. In the course of the investigation, the controller then provided him with information and explained that the previous requests had not been answered due to a technical error in its e-mail system",nonmal_kw,not_cyber,High,access-request failure
1011,Finland,12/16/2021,6500.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Finnish DPA has imposed a fine of EUR 6,500 on a travel agency. 

A customer of the travel agency informed the DPA to suspect that the company might not process the data of its customers in a data protection compliant manner. During its investigation, the DPA found that the travel agency had not ensured secure processing of personal data. For example, visa application forms filled out by customers were publicly accessible on the travel agency's web server. 
The form contained, among other things, the name, contact details and passport number.

In addition, the travel agency had not complied with a customer's request to delete their data from the systems.",nonmal_kw,cyber_nonmalicious,High,visa forms exposed on web server
3008,Slovenia,11/21/2025,16650.0,Not assigned,Insufficient technical and organisational measures to ensure information security,"The Slovenian DPA has imposed a fine of EUR 16,650 on a legal entity. The controller stored personal data on a publicly accessible web server without taking sufficient technical and organisational measures. The server could be accessed via a unique URL without additional safeguards, such as a password login. The entity was fined EUR 16,250, and the person responsible was fined EUR 400.",nonmal_kw,cyber_nonmalicious,High,unprotected URL
2574,Spain,2/25/2025,600000.0,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA has imposed a fine on IBERMUTUA, MUTUA COLABORADORA CON LA SEGURIDAD SOCIAL NUM.274. Due to a technical error in its online platform, personal data, including health information, of 3,395 individuals was unlawfully transferred to 354 recipients. The DPA found that the controller had failed to implement appropriate technical and organisational measures to protect personal data that could have prevented such an incident. The original fine of EUR 1 million was reduced to EUR 600,000 due to voluntary payment and admission of responsibility.",nonmal_kw,cyber_nonmalicious,High,technical error mass-misdirected data
681,Poland,4/22/2021,245000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Polish DPA (UODO) has fined Cyfrowy Polsat S.A. EUR 245,000. The fine was based on a large number of data breaches reported by the controller to the DPA. Frequently, postal correspondence containing personal data was lost or delivered to the wrong recipient. The DPA notes that although the data breaches were caused by the courier company contracted by the controller, the controller had to ensure that such breaches did not occur. The controller failed to implement technical and organizational measures appropriate to the risk to protect the processing of the data. Furthermore, the controller did not notify the data subjects about the data breaches until two to three months later.",nonmal_kw,cyber_nonmalicious,High,lost/misdelivered post
1740,Italy,3/23/2023,4000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has imposed a fine of EUR 4,000 on Azienda socio-sanitaria locale n. 1 di Sassari. The controller had mistakenly sent a document containing health data of the data subject to the wrong recipient. The DPA found that the healthcare facility had not taken sufficient technical and organizational measures to protect personal data.",nonmal_kw,cyber_nonmalicious,High,wrong recipient
715,Sweden,6/7/2021,25000.0,Health Care,Insufficient fulfilment of information obligations,"The Swedish DPA has imposed a fine of EUR 25,000 on Region Sörmland. The fine is related to an investigation against three companies and three Swedish regions. 

In all 21 regions of Sweden, a telephone hotline that offers advice on various health-related topics can be reached by dialing 1177. Each region operates its own health advice service, either internally or through contracted subcontractors, but together they form a national network.
In 2019, the media reported that recorded calls to the 1177 helpline were available on a web server without password protection or other security measures. 
All calls to the 1177 number initially went to the company Inera, which managed and developed the shared systems. Calls to the number 1177 from people living in the Stockholm, Sörmland and Värmland regions were put through by Inera to Medhelp AB, which took the calls. Medhelp had in turn contracted the Thai company Medicall Co Ltd. to take calls on weekends and at night. Both Medhelp and Medicall had a contract with the technology company Voice Integrate Nordic AB for, among other things, call recordings. A data breach had then occurred in which recordings of calls to the number 1177 were available on the Internet on a storage server belonging to Voice Integrate. 
The incident resulted from the misconfiguration of a network-attached storage device that was publicly accessible over the Internet and did not use encrypted communications. A large number of calls were accessed due to the vulnerability. 

The DPA imposed the fine on Region Sörmland  for collecting call data from data subjects without first properly informing them of its processing.",nonmal_kw,cyber_nonmalicious,High,same 1177 exposure; fined for information obligations
1403,Romania,9/19/2022,2000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on Banca Comercial? Român? SA. 

The bank had notified the DPA of a data breach pursuant to Art. 33 GDPR. 

Due to an error in the IT application of the controller, emails containing personal data of customers were sent to the wrong recipients. 
This data breach resulted in the unauthorized disclosure of and access to certain personal data such as first and last name, home address, phone number, email address, and financial information. The incident affected 564 individuals. 

The DPA found that the bank had failed to take appropriate technical and organizational measures to ensure a level of security commensurate with the processing risk.",nonmal_kw,cyber_nonmalicious,High,"IT error, emails to wrong recipients"
115,Romania,11/25/2019,11000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The fine was imposed because the controller failed to take appropriate technical and organisational measures leading to the loss and unauthorised access to personal data (name, bank card number, CVV code, cardholder's address, personal identification number, serial and identity card number, bank account number, authorised credit limit) of approximately 1,100 data subjects.",ambiguous_kw,unclear,Medium,"""loss and unauthorised access"" — cause unspecified"
2896,Romania,10/13/2025,5000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 5,000 on Vellea Home SRL. The controller failed to implement adequate technical and organisational measures, resulting in a data breach.",ambiguous_kw,unclear,Medium,"""data breach"", type unspecified"
1808,Poland,2/8/2023,7200.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Polish DPA has imposed a fine of EUR 7,200 on a company. The controller had suffered a data breach that resulted in the loss of personal data. During its investigation, the DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data, which facilitated the data breach. The controller had failed to conduct certain risk analyses, for example. In addition, the DPA found that the controller failed to review its processor and ensure that it provided sufficient guarantees to protect personal data.",ambiguous_kw,cyber_nonmalicious,Medium,"""loss of personal data"", cause vague"
2629,Germany,2024,60000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The DPA of Berlin imposed a fine of EUR 60,000 on a healthcare company. The company offers practice management software that includes a patient communication portal with insufficient technical and organizational measures to ensure data protection. The total amount of the fine was reduced because no data breach was found and the company cooperated with the DPA.",ambiguous_kw,cyber_nonmalicious,High,insecure design only — no actual breach occurred
2711,Romania,4/25/2025,6000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 6,000 on SC Travel Planner SRL. The controller failed to implement sufficient technical and organisational measures, resulting in a data breach. The controller also failed to notify the DPA of the breach.",ambiguous_kw,unclear,Medium,"""data breach"", type unspecified"
2477,Romania,8/20/2024,8000.0,Accomodation and Hospitality,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has fined Ana Hotels SRL EUR 8,000. The controller had suffered a data breach which resulted in the unauthorized disclosure of personal data processed and stored in their IT systems. The DPA found that the controller had failed to implement adequate technical and organizational measures to protect personal data.",ambiguous_kw,unclear,Medium,"""unauthorized disclosure"" — hack or leak?"
1136,France,4/15/2022,1500000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The French DPA (CNIL) has imposed a fine of EUR 1.5 million on DEDALUS BIOLOGIE. DEDALUS distributes software solutions for medical analysis laboratories. 
In February, the press revealed a data leak at DEDALUS that resulted in the leak of nearly 500,000 individuals' data. The leaked data included information on the surnames, first names, social security number, name of the treating physician, data on medical examinations and illnesses of the data subjects. 

During its investigation, the CNIL found several violations of the GDPR.

Namely, DEDALUS had violated Art. 29 GDPR by extracting more data than required in the course of processing on behalf of two laboratories. 

In addition, the DPA found that DEDALUS had failed to implement appropriate technical and organizational measures to ensure the security of personal data. This constitutes a violation of Art. 32 GDPR.

For example, no specific procedure for data migration operations had been implemented. Also, the leaked data had not been stored in encrypted form on the server. In addition, the DPA found that DEDALUS lacked authentication for access to the public area of the server. 

The absence of such security measures was one of the main causes of the data leak. 

Further, the DPA found that the contractual documents between DEDALUS and its customers did not comply with the requirements set forth in Art. 28 GDPR.

The DPA took into aggravating consideration the seriousness of the violations committed, in particular the security breaches, as well as the large number of individuals affected, when imposing the fine.",ambiguous_kw,cyber_nonmalicious,Medium,leak via unencrypted/unauthenticated server; no attacker mentioned
898,Romania,11/14/2021,2900.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA (ANSPDCP) has imposed a fine of EUR 2,900 on VODAFONE România S.A.. The company had reported a data breach to the DPA in accordance with Art. 33 GDPR. In the period from November 2020 to June 2021, there had been unauthorized access to personal data of seventy data subjects (mailing of service contracts to wrong email addresses, unauthorized access by employees of the 
controller to personal data of Vodafone customers without their request). The DPA found that the controller did not take appropriate technical and organizational measures to ensure the security of the processing of personal data.",ambiguous_kw,cyber_nonmalicious,Medium,misdirected mail + insider snooping — which class for insiders?
1248,Romania,6/30/2022,2000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 2,000 on Continental Automotive Romania SRL. 
The controller had reported a data breach to the DPA pursuant to Art. 33 GDPR. 
The controller had discovered 135 unauthorized and improperly configured surveillance cameras on its premises, which, among other things, captured images of employees in the production area. These cameras were connected to unofficial and unprotected camera systems. For this reason, the DPA found that the controller had not taken appropriate technical and organizational measures to ensure the security of employees' personal data.",ambiguous_kw,cyber_nonmalicious,Low,rogue unprotected CCTV — borderline not_cyber (CCTV) vs security failure
494,Hungary,12/16/2020,55400.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Hungarian DPA (NAIH) imposed a fine of HUF 20,500,000 (EUR 55,400) on Robinson Tours Idegenforgalmi és Szolgáltató Kft. (Robinson Tours Ltd.) The travel agent's reservation system contained unprotected data of customers, which could be viewed by anyone and found via Google. The data contained, among others, names, contact and address data, copies of personal IDs and passport numbers. During the DPA's investigation, it turned out that the data in question was from a test database created by Next Time Media Agency Ltd, the web agency contracted to develop and operate the database, which was supplemented not only with test data but also with real data of Robinson Tours' customers. In total, the data of 781 individuals was affected, which was accessible by anyone in the period from November 13, 2019 to February 4, 2020. 
The NAIH also notes that Robinson Tours did not conduct regular security risk screenings. Robinson Tours also failed to notify the data subjects about the data breach.",ambiguous_kw,cyber_nonmalicious,High,"test DB with real data, Google-indexed"
1732,Poland,2/7/2023,321.0,Real Estate,Insufficient fulfilment of data breach notification obligations,"The Polish DPA has imposed a fine of EUR 321 on a housing association. 
The controller had suffered a data breach involving the theft of documents, including a copy of a notarial deed. During its investigation, the DPA found that the controller had both failed to report the data breach to the DPA in a timely manner and to notify the data subjects affected by the incident. Further, the DPA found that the controller had not adequately checked if the processor provided sufficient guarantees to implement appropriate technical and organisational measures to ensure data protection.",ambiguous_kw,cyber_malicious,Low,"physical document theft — malicious but not ""cyber"""
2595,Lithuania,1/21/2025,9000.0,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"The Lithuanian DPA has imposed a fine of EUR 9,000 against the Employment Service under the Ministry of Social Security and Labor of the Republic of Lithuania. Following a data leak involving the data of 292 clients, the DPA found that the controller had failed to implement sufficient technical and organizational measures to prevent such incidents.",ambiguous_kw,unclear,Medium,"""data leak"", mechanism unspecified"
1797,Germany,2022,,Individuals and Private Associations,Insufficient technical and organisational measures to ensure information security,"The DPA of Brandenburg has imposed a five-figure fine on an aid organization. The aid organization provides transportation for people with illnesses. The organization had reported a data breach to the DPA in which data of data subjects had been published due to a hack. At the time of the attack, the controller's database contained more than 80,000 records with data that included information about the health status of the data subjects. During its investigation, the DPA found that the bank had failed to take adequate technical and organizational measures to protect personal data, which allowed such a breach to occur. In addition, the DPA found that the bank had failed to conclude a processing agreement with its processors.",ambiguous_kw,cyber_malicious,High,explicit hack
2993,France,1/8/2026,27000000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The French DPA has imposed a fine of EUR 27,000,000 on FREE MOBILE. The controller suffered a data breach due to insufficient technical and organisational measures. This was caused by using an inadequate authentication procedure to connect to their VPN for remote working. Additionally, the controller failed to adequately inform the affected data subjects due to necessary information being missing from the information email. Lastly, the controller failed to adequately sort data and retain personal data for a limited amount of time.",ambiguous_kw,cyber_malicious,Medium,breach via weak VPN authentication — attacker implied
64,France,7/25/2019,180000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"Large amount of customer accounts, clients' documents (including copies of driver's licences, vehicle registration, bank statements and documents to determine whether a person had been the subject of a licence withdrawal) and data were easily accesible online. The CNIL, between others, critizised the password management (unauthorized access was possible without any authentication).",ambiguous_kw,cyber_nonmalicious,High,documents accessible without authentication
211,Spain,2/14/2020,30000.0,"Media, Telecoms and Broadcasting",Insufficient technical and organisational measures to ensure information security,"The AEPD found that a third party had access to the name, telephone number and address of another customer.",tom_no_kw,cyber_nonmalicious,Low,"one-line summary; disclosure to third party, no mechanism"
819,Spain,8/25/2021,120000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Spanish DPA (AEPD) has imposed a fine on Banco Bilbao Vizcaya Argentaria, S.A.. The reason for this had been a complaint from a person relating to a lack of authentication. Accordingly, only the ID number had to be given as identification when providing information by telephone. This could allow any person to call, provide an ID number, and thus receive the information associated with the ID number without any verification that the caller is actually the ID holder. The DPA considered this to be a failure to implement appropriate technical and organizational measures to ensure a level of security appropriate to the risk posed to the data subjects. The original fine of EUR 200,000 was reduced to EUR 120,000 due to voluntary payment and acknowledgement of guilt.",tom_no_kw,cyber_nonmalicious,High,weak phone auth process; no incident described
2634,Germany,2024,2500.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The DPA of Hessen has imposed a fine of EUR 2,500 on a doctor´s office. The controller hired an office manager who worked partly from home. The manager worked with patient files, which he stored at home. However, he did not lock or otherwise secure the files, which resulted in guests and family members having access to them. On one occasion, the manager asked his wife to send him photos of some files via a private messaging service because he had left them in his car, which his wife was using for a long trip.",tom_no_kw,cyber_nonmalicious,High,unsecured patient files at home
2984,Romania,12/30/2025,10000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 10,000 on Roumasport S.R.L The controller failed to implement adequate technical and organisational measures, resulting in multiple cyber incidents.",tom_no_kw,cyber_malicious,Medium,"""multiple cyber incidents"" — assumed attacks"
1539,Romania,12/22/2022,10000.0,"Finance, Insurance and Consulting",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 10,000 on SUDREZIDEN?IAL Broker S.R.L.. An employee of the controller had unauthorizedly published an Excel spreadsheet containing personal data, such as first name, last name, telephone number, ID number, e-mail address, bank details, etc. of 509 customers of the controller on the Internet. In the course of its investigation, the DPA found that the controller had failed to implement appropriate technical and organizational measures to protect personal data.",tom_no_kw,cyber_malicious,Medium,insider deliberately published customer data — which class?
75,Norway,4/29/2019,120000.0,Public Sector and Education,Insufficient technical and organisational measures to ensure information security,"Fine for security vulnerabilities in a mobile messaging app developed for use in an Oslo school. The app allows parents and students to send messages to school staff. Due to insufficient technical and organizational measures to protect information security, unauthorized persons were able to log in as authorized users and gain access to personal data about students, legal representatives and employees. The fine has meanwhile been reduced to EUR 120.000, see https://edpb.europa.eu/news/national-news/2020/norwegian-data-protection-authority-imposes-fine-municipality-oslo-education_en",tom_no_kw,cyber_nonmalicious,Medium,app vulnerability; actual exploitation not clearly stated
1416,Italy,7/21/2022,3000.0,Health Care,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has fined Azienda Socio Sanitaria Territoriale Rhodense EUR 3,000. The healthcare facility had reported the loss of a patient's medical record. The file contained personal data such as surname, first name, gender, date and place of birth, tax number, place of residence, telephone numbers of the data subject. The DPA determined that the incident was caused by a lack of technical and organizational measures to protect personal data at the healthcare facility.",tom_no_kw,cyber_nonmalicious,High,lost medical record (physical)
2306,Italy,2/8/2024,79100000.0,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Italian DPA has fined Enel Energia SpA EUR 79.1 million due to its lack of compliance with technical and organisational measures aimed at limiting the potential abuses by agencies that unlawfully performed telemarketing activities. According to the DPA, Enel Energia acquired as many as 978 contracts from four different previously sanctioned companies, even though they did not belong to the energy company’s sales network. Moreover, following subsequent inspections at Enel Energia, the DPA ascertained that the information systems used for customer management and service activation by the company showed the abovementioned serious security shortcomings. Enel failed to put in place all the necessary measures to prevent the unlawful activities of unauthorised agents who fuelled for years an illicit business carried out through nuisance calls, service promotions, and the signing of contracts with no real economic benefits for customers by identifying easy ‘front doors’ in the company’s information systems.",tom_no_kw,cyber_malicious,Low,"rogue agents exploited system ""front doors"" for telemarketing — borderline not_cyber"
1370,Romania,8/22/2022,10000.0,Transportation and Energy,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has fined Enel Energie Muntenia S.A. EUR 10,000. A customer had mistakenly received an email addressed to another customer containing documents with personal data of the other customer. In the course of its investigation, the DPA found that the incident had occurred due to the company's failure to take adequate technical and organizational measures to protect personal data.",tom_no_kw,cyber_nonmalicious,High,email to wrong customer
1546,Romania,1/4/2023,3000.0,Industry and Commerce,Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Ap? Canal Ilfov SA. The controller sent an e-mail with personal data to several recipients in an open distribution list. This made it possible for the recipients to view the e-mail addresses of all other recipients.",tom_no_kw,cyber_nonmalicious,High,open CC distribution list
2040,Spain,9/25/2023,600.0,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 600 on a private individual. The controller had installed video surveillance cameras which, among other things, also covered the public space and a neighbour property. The DPA considered this to be a violation of the principle of data minimization. In addition, the controller had not properly informed the data subjects about the processing of the data by the video surveillance and thus violated its duty to inform.",no_signal,not_cyber,High,CCTV over public space
1530,Spain,12/13/2022,56000.0,"Media, Telecoms and Broadcasting",Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine on Vodafone España, S.A.U.. A person had filed a complaint with the DPA because the company had given a duplicate of their SIM card to an unauthorized fraudulent third party without their consent. During its investigation, the DPA found that the company failed to verify the identity of the third party or obtain the data subject's consent to share their data. The original fine of EUR 70,000 was reduced to EUR 56,000 due to voluntary payment.",no_signal,cyber_malicious,High,SIM-swap fraud via failed identity verification
2809,Czech Republic,6/9/2021,2000.0,Not assigned,Insufficient fulfilment of data subjects rights,"The Czech DPA has imposed a fine of EUR 2,000 on a legal person. The accused did not respond to the complainant's repeated requests to provide access to personal data and to provide information on how she had obtained the contact details of his data box.",no_signal,not_cyber,High,ignored access requests
1921,Greece,6/12/2023,210000.0,"Finance, Insurance and Consulting",Non-compliance with general data processing principles,"The Hellenic DPA has imposed a fine of EUR 210,000 on Piraeus Bank. During its investigation, the DPA found that the bank had processed personal data of customers in violation of the principle of lawfulness. In addition, the DPA found that the bank had processed personal data without taking appropriate and effective technical and organizational measures to process only the data necessary for the specific purpose. Finally, the DPA found that the bank had failed to properly comply with a data subject's request for access to their personal data.",no_signal,not_cyber,Medium,mainly lawfulness/access rights; TOM mentioned in passing
1504,Spain,11/29/2022,500.0,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) has imposed a fine of EUR 500 on a private individual. The controller had installed video surveillance cameras which, among other things, also covered the public space and furthermore published the recorded images on Facebook. The DPA considered this to be a violation of the principle of data minimization.",no_signal,not_cyber,High,CCTV + Facebook posting
2036,Spain,9/7/2023,70000.0,Transportation and Energy,Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine of EUR 70,000 on SUMINISTRADOR IBÉRICO DE ENERGÍA, S.L.. A customer had filed a complaint with the DPA due to the fact that the controller carried out a change of their electricity and gas supply company without obtaining their consent beforehand.",no_signal,not_cyber,High,supplier switch without consent
673,Spain,5/12/2021,3000.0,Industry and Commerce,Insufficient fulfilment of data subjects rights,"The Spanish DPA (AEPD) has imposed a fine of EUR 3,000 on Solram T Y R S.L.. A data subject had filed a complaint with the AEPD against the controller due to the fact that the controller continued to send him advertisements via WhatsApp, despite the fact that he had requested the deletion of his data.",no_signal,not_cyber,High,marketing after erasure request
754,Spain,7/8/2021,50000.0,"Finance, Insurance and Consulting",Insufficient legal basis for data processing,"The Spanish DPA (AEPD) has imposed a fine of EUR 50,000 on Caixabank S.A.. A data subject had filed a complaint with the DPA because he had received commercial advertising from the controller, although he had objected to the processing of his data for advertising purposes and the controller had replied that it would comply with this request.",no_signal,not_cyber,High,marketing despite objection
2883,Bulgaria,1/17/2023,1020.0,"Media, Telecoms and Broadcasting",Non-compliance with general data processing principles,"The Bulgarian DPA has imposed a fine of EUR 1,020 on a telecommunications operator. The controller did not implement sufficient technical and organisational measures to ensure data security, resulting in an application for a provider change being processed for an individual who did not apply for one.",no_signal,cyber_nonmalicious,Low,"unauthorized provider switch — possible fraud, not confirmed"
1447,Spain,10/17/2022,500.0,Individuals and Private Associations,Non-compliance with general data processing principles,"The Spanish DPA (AEPD) fined a private individual EUR 500. The individual had installed video surveillance cameras on their property which covered, among other things, the public space and a neighboring property. The AEPD found that such extensive video surveillance constituted a violation of the principle of data minimization.",no_signal,not_cyber,High,CCTV over public space
